Name,ANOVA Decision Tree Regressor,Decision Tree Classifier,Random Forest Classifier,Random Forest Regressor,SVM Classifier,SVM Classifier - K=5 best,MLP Classifier - Adam,MLP Classifier - LBFGS,
Accuracy,R2:-0.14803625377643503; MSE:0.95; MAE:0.65,0.5,0.75,R2:0.48509969788519636; MSE:0.42608000000000007; MAE:0.5720000000000001,0.75,0.8,0.7,0.6,
Time,0.0006537399999979243,0.0006675280000035855,0.005382337000000916,0.0037476580000020475,0.000878683999999339,0.00026560700000118233,0.000781779999997525,0.0007681409999986499,
Number of Turns,0.0,0.0,0.07511287591551076,0.036167746459577356,,,,,
Player 1 Turn Taking,0.0,0.0,0.04662471350156573,0.022154675795215364,,,,,
Player 2 Turn Taking,0.0,0.0,0.0388798267752143,0.010450219462699108,,,,,
Player 3 Turn Taking,0.0,0.0,0.054244000819528536,0.005366667871853176,,,,,
Player 4 Turn Taking,0.0,0.1860465116279069,0.04675431434475885,0.037011285891428214,,,,,
Player 1 SA Average,0.0,0.0,0.056323422255533544,0.08199643796755496,,,,,
Player 2 SA Average,0.06872852233676975,0.2838685861941675,0.11274406132230794,0.15528153455211627,,,,,
Player 3 SA Average,0.4135166093928979,0.0,0.09054420824298758,0.15934877806583542,,,,,
Player 4 SA Average,0.05498281786941615,0.0,0.07870340910677678,0.11366659523735954,,,,,
SA 3 Turn Taking,0.0,0.07751937984496123,0.04509107416801984,0.022368828152500825,,,,,
SA 4 Turn Taking,0.3503071956680203,0.0,0.0666292112070661,0.15598666962755608,,,,,
SA 5 Turn Taking,0.0,0.0,0.023545866172910167,0.011126238227687515,,,,,
SA 6 Turn Taking,0.0,0.0,0.02846720705453013,0.03632910615129262,,,,,
Positive Sentiment Rating,0.0,0.0,0.03626607828022487,0.023738354430367953,,,,,
Negative Sentiment Rating,0.06664583984171599,0.45256552233296427,0.10451479846527542,0.07236846343675903,,,,,
Neutral Sentiment Rating,0.0,0.0,0.05815883666103336,0.02449145071341412,,,,,
Compound Sentiment Rating,0.04581901489117976,0.0,0.0373960957067561,0.03214694795678242,,,,,
